COLLECTION_DATE,Actual_Value,Predicted_Value
2019-06-17,6.221377777777777,5.782908091779738
2019-06-18,6.195237037037037,5.79150807853729
2019-06-19,6.1690000000000005,5.798363926107921
2019-06-20,6.142666666666667,5.803499487203265
2019-06-21,6.1162370370370365,5.806970418150462
2019-06-22,6.089711111111111,5.80886092624967
2019-06-23,6.063088888888889,5.809272927632407
2019-06-24,6.03637037037037,5.808319903381287
2019-06-25,6.009555555555556,5.806127260934739
2019-06-26,5.982644444444444,5.802723912670499
2019-06-27,5.955637037037036,5.798154311369336
2019-06-28,5.928533333333333,5.792459295764802
2019-06-29,5.9013333333333335,5.785665609806303
2019-06-30,5.874037037037037,5.777798913229079
2019-07-01,5.846644444444444,5.76896329059298
2019-07-02,5.819155555555556,5.759258489601195
2019-07-03,5.79157037037037,5.7487213735353375
