,199-D5-127
2017-04-01,3.480120897293091
2015-02-05,25.326927185058594
2017-10-14,7.497025966644287
2016-06-18,4.499196529388428
2018-08-27,2.9297590255737305
2018-10-01,1.1888954639434814
2016-09-20,13.488631248474121
2015-01-07,25.326927185058594
2017-03-18,1.9486134052276611
2017-08-13,5.4758687019348145
2017-11-06,6.050200939178467
2016-12-02,6.01204252243042
2015-10-31,11.088476181030273
2018-06-18,4.649352550506592
2015-08-05,12.49136734008789
2018-03-03,7.096414566040039
2015-12-17,7.174954414367676
2018-09-12,2.0818045139312744
2017-12-22,8.674703598022461
2015-07-22,11.952631950378418
2018-04-07,8.512537002563477
2016-06-11,2.072572946548462
2015-11-07,10.907565116882324
2017-07-05,9.896885871887207
2018-12-08,8.53632640838623
2015-01-09,25.326927185058594
2015-08-30,11.441170692443848
2017-09-10,6.376953125
2016-09-15,12.853920936584473
2018-06-21,4.831313610076904
2018-10-25,2.5963618755340576
2016-05-09,8.461812973022461
2017-02-13,5.798142433166504
2017-09-24,7.515214920043945
2017-01-01,3.3195745944976807
2017-05-14,6.652651309967041
2015-10-03,10.120535850524902
2018-12-02,8.880281448364258
2016-09-30,12.843652725219727
2017-11-03,6.131037712097168
2016-10-05,12.100598335266113
2016-10-26,8.75540828704834
2016-12-01,6.114046573638916
2015-03-04,24.962827682495117
2018-10-18,1.7449843883514404
2016-10-01,12.742545127868652
2015-11-12,10.502704620361328
2017-07-09,9.580015182495117
2018-07-03,5.46653938293457
2016-05-08,8.854179382324219
2018-01-26,6.72552490234375
2017-12-16,8.530285835266113
2016-03-18,17.222463607788086
2017-01-15,4.487374782562256
2016-07-12,9.581966400146484
2015-06-04,9.183103561401367
2016-09-12,12.720723152160645
2017-12-21,8.654940605163574
2017-11-28,6.66865873336792
2017-08-28,5.583318710327148
2015-07-08,9.91900634765625
2015-07-09,10.05446720123291
2016-05-10,8.086544036865234
2017-09-05,6.0681257247924805
2015-08-31,11.315534591674805
2018-07-18,5.388000011444092
2018-04-20,8.778312683105469
2018-08-23,3.0892820358276367
2018-10-20,1.9371638298034668
2015-12-18,7.23569393157959
